;Gamintojas;Amzius;Kebulas;Kainos
0;BMW 320;2009;Universalas;5300
1;Ford Transit Custom;2015;Keleivinis mikroautobusas;6500
2;Volkswagen Scirocco;2013;Kupė (Coupe);8200
3;Toyota Prius;2010;Hečbekas;8300
4;BMW X5;2008;Visureigis / Krosoveris;9350
5;BMW X6;2010;Visureigis / Krosoveris;11700
6;BMW X3;2016;Visureigis / Krosoveris;11850
7;Mercedes-Benz CLS350;2011;Kupė (Coupe);12400
8;Volkswagen Golf;2015;Hečbekas;13500
9;BMW 630 Gran Turismo;2018;Hečbekas;27500
10;Mitsubishi Carisma;1998;Hečbekas;210
11;Toyota Avensis;2004;Sedanas;1700
12;Skoda Superb;2004;Sedanas;1950
13;Volkswagen Transporter;2007;Krovininis mikroautobusas;2380
14;Ford Tourneo Connect;2012;Vienatūris;2700
15;Volkswagen Passat;2005;Universalas;2800
16;Toyota Corolla;2010;Sedanas;3800
17;Mercedes-Benz C220;2009;Universalas;4550
18;Toyota Avensis;2010;Universalas;5150
19;Volkswagen Phaeton;2008;Sedanas;5900
